Day,Date,Time,Seconds,Video
1,14/08/2021,11:02:20,6,Over Dubai
1,14/08/2021,19:41:28,41,Abstract - Canyon
3,16/08/2021,11:08:39,5,Dog POV
4,17/08/2021,11:49:42,642,Black hole video
4,17/08/2021,19:16:06,500,Two guys on a boat
6,19/08/2021,11:08:46,468,Nature sounds
6,19/08/2021,16:43:18,5,NYC
7,18/08/2021,10:11:24,4,Dog shelter
7,18/08/2021,23:26:17,4,Abstract - Canyon
8,19/08/2021,11:08:55,437,Nature sounds
8,19/08/2021,16:43:18,41,NYC
9,21/08/2021,11:43:02,234,Dolphins playing
10,22/08/2021,10:46:25,3,Lions
11,23/08/2021,/,/,/
12,24/08/2021,/,/,/
13,25/08/2021,/,/,/
14,26/08/2021,17:49:29,2,Abstract - Canyon
14,26/08/2021,17:49:32,987,NYC
15,27/08/2021,11:09:10,2,Over Dubai
15,27/08/2021,11:09:12,40,Black hole video
15,27/08/2021,11:09:55,46,Abstract - Canyon
15,27/08/2021,11:10:45,2,Beach video
15,27/08/2021,12:40:32,702,Temple
16,28/08/2021,/,/,/
17,29/08/2021,20:54:22,3,Rhinos
17,29/08/2021,20:54:28,3,Temple
17,29/08/2021,20:54:32,355,Barcelona
18,30/08/2021,/,/,/
19,31/08/2021,/,/,/
20,01/09/2021,/,/,/
21,02/09/2021,13:43:04,627,Temple
22,03/09/2021,15:59:27,3,Dolphins playing
22,03/09/2021,15:59:31,1228,Sea video
22,03/09/2021,16:20:05,1,Lions
23,04/09/2021,11:29:13,20,Sea video
23,04/09/2021,11:29:34,2,Over Dubai
23,04/09/2021,11:29:38,4,Beach video
23,04/09/2021,14:54:01,306,Temple
24,05/09/2021,/,/,/
25,06/09/2021,17:51:10,6,Dog sled
26,07/09/2021,/,/,/
27,08/09/2021,19:52:01,4058,Shower falls
28,09/09/2021,/,/,/
29,10/09/2021,/,/,/
30,11/09/2021,20:59:47,1,Over Dubai
31,12/09/2021,/,/,/
32,13/09/2021,/,/,/
33,14/09/2021,/,/,/
34,15/09/2021,/,/,/
35,16/09/2021,/,/,/
36,17/09/2021,/,/,/
37,18/09/2021,/,/,/
38,19/09/2021,,,
39,20/09/2021,12:17:53,2,Dog POV
39,20/09/2021,12:30:04,6,Lions
39,20/09/2021,12:30:11,47,Angel falls
40,21/09/2021,23:59:36,5,Beach video
41,22/09/2021,18:12:31,228,Blue whale
42,23/09/2021,19:16:05,16,London park
43,24/09/2021,/,/,/
44,25/09/2021,/,/,/
45,26/09/2021,/,/,/
46,27/09/2021,/,/,/
47,28/09/2021,/,/,/
48,29/09/2021,18:15:26,168,Dog sled
48,29/09/2021,18:18:14,5,Dolphins playing
48,29/09/2021,18:18:29,3,Lions
48,29/09/2021,18:18:33,2,Dog shelter
49,30/09/2021,/,/,/
50,01/10/2021,/,/,/
51,02/10/2021,17:17:10,150,Over Dubai
51,02/10/2021,17:19:40,250,Black hole video
51,02/10/2021,17:24:00,710,Abstract - Canyon
51,02/10/2021,17:26:17,575,Beach video
51,02/10/2021,17:35:59,186,Temple
51,02/10/2021,17:39:20,5,Shower falls
51,02/10/2021,17:39:34,2,Lions
51,02/10/2021,17:39:41,3,Barcelona
51,02/10/2021,17:39:44,9,Black hole video
51,02/10/2021,17:39:58,20,Nature sounds
51,02/10/2021,17:40:26,36,Shower falls
51,02/10/2021,17:41:04,98,Dog POV
51,02/10/2021,17:42:50,3,Black hole video
51,02/10/2021,17:43:03,11,Sea video
51,02/10/2021,17:43:14,9,Two guys on a boat
51,02/10/2021,17:43:24,3,Blue whale
51,02/10/2021,17:43:29,17,Dolphins playing
51,02/10/2021,17:43:47,5,Temple
51,02/10/2021,17:43:57,335,Nature sounds
51,02/10/2021,17:49:38,5,Temple
51,02/10/2021,17:49:53,54,London park
51,02/10/2021,17:50:54,91,Bavarian Alps
52,03/10/2021,14:52:05,4,Dog sled
53,04/10/2021,22:14:40,498,Dog sled
54,05/10/2021,13:07:32,185,Over Dubai
54,05/10/2021,13:10:37,10,Bavarian Alps
55,06/10/2021,12:50:56,281,Bavarian Alps
56,07/10/2021,18:40:58,5,Two guys on a boat
56,07/10/2021,18:43:57,3,Two guys on a boat
56,07/10/2021,18:54:32,3,Temple
56,07/10/2021,20:29:21,52,Temple
56,07/10/2021,20:30:28,6,Angel falls
56,07/10/2021,20:31:05,46,Rhinos
57,08/10/2021,10:28:39,24,Lions
57,08/10/2021,20:01:06,19,Dog shelter
58,09/10/2021,12:41:31,3,NYC
58,09/10/2021,12:41:59,5,Sea video
58,09/10/2021,23:33:19,11,Temple
59,10/10/2021,/,/,/
60,11/10/2021,/,/,/
61,12/10/2021,19:41:12,325,Shower falls
62,13/10/2021,/,/,/
63,14/10/2021,/,/,/
64,15/10/2021,/,/,/
65,16/10/2021,/,/,/
66,17/10/2021,/,/,/
67,18/10/2021,/,/,/
68,19/10/2021,02:18:04,6,Shower falls
68,19/10/2021,02:18:11,6,Dog POV
68,19/10/2021,02:18:19,1,Black hole video
68,19/10/2021,02:18:24,2,Sea video
69,20/10/2021,21:22:07,2,Blue whale
69,20/10/2021,21:22:09,8,Dolphins playing
69,20/10/2021,21:22:18,2,Temple
69,20/10/2021,21:22:22,79,Nature sounds
70,21/10/2021,21:23:08,2,Temple
