date,time,seconds
09/10/2016,04:44:03PM,3.14
08/10/2016,09:00:33PM,3.14
08/10/2016,08:02:25PM,2.95
07/10/2016,07:53:26PM,2.98
10/10/2016,07:46:49PM,2.99
12/10/2016,02:13:49AM,3.01
10/10/2016,12:53:55AM,3.01
12/10/2016,01:33:51PM,3.02
12/10/2016,07:08:15PM,3.03
10/10/2016,12:57:08AM,3.03
10/10/2016,12:56:03AM,3.03
10/10/2016,09:10:26PM,3.07
07/10/2016,08:10:56PM,3.07
05/10/2016,08:01:36PM,3.07
09/10/2016,11:41:42PM,3.08
08/10/2016,09:26:56PM,3.08
05/10/2016,07:45:45PM,3.08
10/10/2016,06:17:09PM,3.09
12/10/2016,01:27:28PM,3.09
12/10/2016,07:56:44AM,3.09
11/10/2016,09:19:14PM,3.09
11/10/2016,08:39:22PM,3.09
10/10/2016,09:44:52PM,3.09
10/10/2016,09:42:43PM,3.09
06/10/2016,02:15:53PM,3.09
05/10/2016,08:28:01PM,3.09
12/10/2016,01:38:20PM,3.1
10/10/2016,10:40:53PM,3.1
10/10/2016,09:08:13PM,3.1
10/10/2016,09:08:00PM,3.1
10/10/2016,09:07:56PM,3.1
12/10/2016,08:12:56PM,3.1
12/10/2016,01:33:05PM,3.1
12/10/2016,08:01:32AM,3.1
10/10/2016,09:44:47PM,3.1
10/10/2016,02:20:37AM,3.1
09/10/2016,04:35:21PM,3.1
09/10/2016,02:14:39AM,3.1
07/10/2016,10:48:30PM,3.1
07/10/2016,07:58:06PM,3.1
06/10/2016,11:19:20PM,3.1
06/10/2016,10:23:07PM,3.1
06/10/2016,12:31:09PM,3.1
05/10/2016,10:10:29PM,3.1
10/10/2016,09:10:03PM,3.11
10/10/2016,09:09:00PM,3.11
10/10/2016,09:08:04PM,3.11
10/10/2016,12:37:27AM,3.11
10/10/2016,12:35:32AM,3.11
09/10/2016,11:41:53PM,3.11
07/10/2016,10:48:11PM,3.11
07/10/2016,08:16:26PM,3.11
07/10/2016,08:03:32PM,3.11
07/10/2016,08:01:06PM,3.11
06/10/2016,11:14:53PM,3.11
06/10/2016,11:14:38PM,3.11
05/10/2016,10:10:38PM,3.11
12/10/2016,09:46:50PM,3.11
12/10/2016,09:44:39PM,3.11
12/10/2016,07:53:40PM,3.11
12/10/2016,07:41:57PM,3.11
12/10/2016,01:32:27PM,3.11
12/10/2016,12:59:55PM,3.11
12/10/2016,12:29:46PM,3.11
12/10/2016,12:29:39PM,3.11
10/10/2016,09:43:41PM,3.11
10/10/2016,09:42:32PM,3.11
10/10/2016,01:12:44AM,3.11
10/10/2016,12:59:56AM,3.11
10/10/2016,12:56:08AM,3.11
10/10/2016,12:55:38AM,3.11
10/10/2016,12:53:30AM,3.11
10/10/2016,12:50:36AM,3.11
10/10/2016,12:35:38AM,3.11
09/10/2016,04:36:43PM,3.11
09/10/2016,01:44:17PM,3.11
08/10/2016,09:57:41PM,3.11
08/10/2016,08:02:31PM,3.11
08/10/2016,06:13:08PM,3.11
07/10/2016,08:02:58PM,3.11
07/10/2016,07:59:07PM,3.11
07/10/2016,07:56:50PM,3.11
07/10/2016,07:53:35PM,3.11
